"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"Bos en Lommer","Feb2021","Smuggling",5
"Bos en Lommer","Feb2021","Total",185
"Bos en Lommer","Feb2021","Violence",62
"Bos en Lommer","Jan2021","Environment",0
"Bos en Lommer","Jan2021","Inappropriateness",11
"Bos en Lommer","Jan2021","Other",22
"Bos en Lommer","Jan2021","Robbery/Theft",83
"Bos en Lommer","Jan2021","Smuggling",3
"Bos en Lommer","Jan2021","Total",182
"Bos en Lommer","Jan2021","Violence",60
"Bos en Lommer","July2021","Environment",0
"Bos en Lommer","July2021","Inappropriateness",5
"Bos en Lommer","July2021","Other",22
"Bos en Lommer","July2021","Robbery/Theft",84
"Bos en Lommer","July2021","Smuggling",5
"Bos en Lommer","July2021","Total",163
"Bos en Lommer","July2021","Violence",44
"Bos en Lommer","June021","Environment",0
"Bos en Lommer","June021","Inappropriateness",10
"Bos en Lommer","June021","Other",27
"Bos en Lommer","June021","Robbery/Theft",106
"Bos en Lommer","June021","Smuggling",6
"Bos en Lommer","June021","Total",209
"Bos en Lommer","June021","Violence",52
"Bos en Lommer","May2021","Environment",1
"Bos en Lommer","May2021","Inappropriateness",6
"Bos en Lommer","May2021","Other",25
"Bos en Lommer","May2021","Robbery/Theft",61
"Bos en Lommer","May2021","Smuggling",4
"Bos en Lommer","May2021","Total",167
"Bos en Lommer","May2021","Violence",63
"Bos en Lommer","Mrt2021","Environment",0
"Bos en Lommer","Mrt2021","Inappropriateness",10
"Bos en Lommer","Mrt2021","Other",24
"Bos en Lommer","Mrt2021","Robbery/Theft",90
"Bos en Lommer","Mrt2021","Smuggling",9
"Bos en Lommer","Mrt2021","Total",181
"Bos en Lommer","Mrt2021","Violence",40
"Bos en Lommer","Nov2021","Environment",2
"Bos en Lommer","Nov2021","Inappropriateness",9
"Bos en Lommer","Nov2021","Other",24
"Bos en Lommer","Nov2021","Robbery/Theft",119
"Bos en Lommer","Nov2021","Smuggling",2
"Bos en Lommer","Nov2021","Total",224
"Bos en Lommer","Nov2021","Violence",61
"Bos en Lommer","Oct2021","Environment",0
