"Neighborhoods","Listing_sum","Average_price","Percentage_home_apt","Percentage_hotel_room","Percentage_private_room","Percentage_shared_room","Periods","CrimeType_Category","total_crime_sum"
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"June021","Violence",24
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Environment",0
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Inappropriateness",3
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Other",6
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Robbery/Theft",49
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Smuggling",5
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Total",86
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"May2021","Violence",21
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Environment",1
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Inappropriateness",1
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Other",2
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Robbery/Theft",30
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Smuggling",0
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Total",48
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Mrt2021","Violence",11
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Environment",0
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Inappropriateness",3
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Other",9
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Robbery/Theft",57
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Smuggling",1
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Total",94
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Nov2021","Violence",21
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Environment",1
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Inappropriateness",7
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Other",0
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Robbery/Theft",77
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Smuggling",14
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Total",133
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Oct2021","Violence",29
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Environment",2
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Inappropriateness",10
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Other",7
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Robbery/Theft",46
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Smuggling",1
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Total",86
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0,"Sept2021","Violence",20
"Bijlmer-Oost",23,128.052631578947,0.578947368421053,0,0.421052631578947,0,NA,NA,NA
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Environment",0
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Inappropriateness",11
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Other",18
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Robbery/Theft",87
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Smuggling",3
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Total",180
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Apr2021","Violence",55
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Environment",0
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Inappropriateness",6
